item,name,first name,movie,year
"Maren, Ade",Ade,Maren,Toni Erdmann,2016
"Chantal, Akerman",Akerman,Chantal,News From Home,1977
"Haifaa, Al-Mansour",Al-Mansour,Haifaa,Wadjda,2012
"Debbie, Allen",Allen,Debbie,Life Is Not A Fairy Tale- The Fantasia Barrino Story,2006
"Natalia, Almada",Almada,Natalia,El General,2009
"Ana Lily, Amirpour",Amirpour,Ana Lily,A Girl Walks Home Alone at Night,2014
"Madeline, Anderson",Anderson,Madeline,Infinity Factory,1977
"Momoko, Ando",Ando,Momoko,0.5mm,2014
"Maya, Angelou",Angelou,Maya,Down in the Delta,1998
"Andrea, Arnold",Arnold,Andrea,Fish Tank,2009
"Amma, Asante",Asante,Amma,Where Hands Touch,2018
"Neema, Barnette",Barnette,Neema,Heaven Ain't Hard to Find,2010
"Kathryn, Bigelow",Bigelow,Kathryn,Zero Dark Thirty,2012
"Jane, Campion",Campion,Jane,Bright Star,2009
"Niki, Caro",Caro,Niki,Whale Rider,2002
"Park, Chan-ok",Chan-ok,Park,Jealousy is My Middle Name,2002
"Ayoka, Chenzira",Chenzira,Ayoka,Alma's Rainbow,1993
"Jessie, Chisi",Chisi,Jessie,??Every Woman Knows??,2016
"Lisa, Cholodenko",Cholodenko,Lisa,The Kids are All Right,2010
"V?ra, Chytilov?",Chytilov?,V?ra,Daisies,1966
"Shirley, Clarke",Clarke,Shirley,Portrait of Jason,1967
"Sofia, Coppola",Coppola,Sofia,Somewhere,2010
"Claire, Denis",Denis,Claire,White Material,2009
"Maya, Deren",Deren,Maya,Ritual in Transfigured Time,1946
"Mattie, Do",Do,Mattie,Dearest Sister,2016
"Julia, Ducournau",Ducournau,Julia,Raw,2016
"Nosipho, Dumisa",Dumisa,Nosipho,Number 37,2017
"Marguerite, Duras",Duras,Marguerite,India Song,1975
"Ava, DuVernay",DuVernay,Ava,13th,2016
"Ildik?, Enyedi",Enyedi,Ildik?,On Body and Soul,2017
"Nora, Ephron",Ephron,Nora,Sleepless in Seattle,1993
"Greta, Gerwig",Gerwig,Greta,Lady Bird,2017
"Debra, Granik",Granik,Debra,Leave no Trace,2018
"Mary, Harron",Harron,Mary,American Psycho,2000
"Lomboleni Oshosheni, Hiveluah",Hiveluah,Lomboleni Oshosheni,Tjitji the Himba Girl,2018
"Joanna, Hogg",Hogg,Joanna,The Souvenir,2019
"Lee, Hyun-joo",Hyun-joo,Lee,Our Love Story,2016
"Annemarie, Jacir",Jacir,Annemarie,Salt Of The Sea,2008
"Patty, Jenkins",Jenkins,Patty,Monster,2003
"Wanuri, Kahiu",Kahiu,Wanuri,Rafiki,2018
"Payal, Kapadia",Kapadia,Payal,Afternoon Clouds,2017
"Nadine, Labaki",Labaki,Nadine,Capernaum,2018
"Kasi, Lemmons",Lemmons,Kasi,Eve's Bayou,1977
"Rene, Liu Ruo",Liu Ruo,Rene,Us and Them,2018
"Jennie, Livingston",Livingston,Jennie,Paris is Burning,1990
"Caudia, Llosa",Llosa,Caudia,The Milk Of Sorrow,2009
"Penny, Marshall",Marshall,Penny,Big,1988
"Lucrecia, Martel",Martel,Lucrecia,The Headless Woman,2008
"M?rta, M?sz?ros",M?sz?ros,M?rta,Adoption,1975
"Miwa, Nishikawa",Nishikawa,Miwa,Wild Berrries,2002
"Naoko, Ogigami",Ogigami,Naoko,Close-Knit,2017
"Kimberly, Peirce",Peirce,Kimberly,Boys Don??t Cry,1999
"Sarah, Polley",Polley,Sarah,Stories we Tell,2012
"Lynne, Ramsay",Ramsay,Lynne,We Need to Talk About Kevin,2011
"Kelly, Reichardt",Reichardt,Kelly,Meek??s Cutoff,2010
"Alice, Rohrwacher",Rohrwacher,Alice,Happy as Lazzaro,2018
"C?line, Sciamma",Sciamma,C?line,Tomboy,2011
"Yuki, Tanada",Tanada,Yuki,One Million Yen Girl,2008
"Agn?s, Varda",Varda,Agn?s,The Beaches of Agnes,2008
"Lois, Weber",Weber,Lois,Shoes,1916
"Yolande, Welimoum",Welimoum,Yolande,Heritage,2017
"Yoko, Yamanaka",Yamanaka,Yoko,21st Century Girl,2019
"Chloe, Zhao",Zhao,Chloe,The Rider,2017
"Bora, Kim",Kim,Bora,house of hummingbird,2018
"Ga-eun, Yoon",Yoon,Ga-eun,the world of us,2016
"Ka-Ram, Han",Han,Ka-Ram,our body,2019
"C?line, Sciamma",Sciamma,C?line,portrait of a lady on fire,2019
