category-main,category,description,name,address,website,Latitude,Longitude
day,networking,events/sports/wellness/womens centre *female only* hamam (bath),Schokofabrik,Mariannenstra©¬e 6. 10997 Berlin,http://www.frauenzentrum-schokofabrik.de/index.php?id=36,52.5009077,13.4232743
day,pub,events/concerts/beer garden,S?dblock,Admiralstr. 1-2. 10999 Berlin,https://www.suedblock.org/wp/,52.498180,13.416830
day/night,caf?/pub,cafe/food/workspace/events,BE¡¯KECH,Exerzierstra©¬e 14. 13357. Berlin,https://bekech.com/,52.554020,13.374640
day,culture,events/library/craft beer/gallery,THE.WORD,Neue Kulmer Str. 2. 10827 Berlin,https://theword.berlin/,52.4909272,13.3643929
day,networking,coworking/networking/conference,COWOMEN,Am Kr?gel 2. 10179 Berlin,https://cowomen.com/,52.5156534,13.4089962
day,art,museum,K?THE KOLLWITZ MUSEUM,Fasanenstr. 24. 10719 Berlin,https://www.kaethe-kollwitz.de/en/,52.5016827,13.3270416
day,library,lesbian archive,Spinnboden,Spinnboden Lesbenarchiv & Bibliothek e.V. (2. Hinterhof / 3. Aufgang / 2. Stock). Anklamer Stra©¬e 38. 10115 Berlin,http://www.spinnboden.de/,52.5353154,13.3992983
day,shop,queer feminist sex shop,Other Nature,Mehringdamm 79. 10965 Berlin,www.other-nature.de,52.4893593,13.3867809
day,art,gallery,The Ballery,Nollendorfstra©¬e 11/12. 10777 Berlin,theballery.com,52.4980532,13.3527869
day/night,caf?/pub,events,Eschschloraque,Rosenthaler Str. 39 - 2 (hinter hof). 10178 Berlin,https://www.eschschloraque.de/,52.5245092,13.4030348
day,cafe,,Brammibal's Donuts,Maybachufer 8. 12047 Berlin,https://www.brammibalsdonuts.com/,52.4950249,13.4230147
day/night,caf?/pub,events,OYA,Mariannenstra©¬e 5. 10997 Berlin,https://www.instagram.com/oya_bar/,52.5010043,13.4233725
day/night,caf?/pub/restaurant,,Selig,Herrfurthplatz 14. 12049 Berlin. Germany,https://www.selig.berlin/,52.476987,13.4224107
